,values,date,period
0,66.2,2008-01-01,M01
1,66.0,2008-02-01,M02
2,66.1,2008-03-01,M03
3,65.9,2008-04-01,M04
4,66.1,2008-05-01,M05
5,66.1,2008-06-01,M06
6,66.1,2008-07-01,M07
7,66.1,2008-08-01,M08
8,66.0,2008-09-01,M09
9,66.0,2008-10-01,M10
10,65.9,2008-11-01,M11
11,65.8,2008-12-01,M12
12,65.7,2009-01-01,M01
13,65.8,2009-02-01,M02
14,65.6,2009-03-01,M03
15,65.7,2009-04-01,M04
16,65.7,2009-05-01,M05
17,65.7,2009-06-01,M06
18,65.5,2009-07-01,M07
19,65.4,2009-08-01,M08
20,65.1,2009-09-01,M09
21,65.0,2009-10-01,M10
22,65.0,2009-11-01,M11
23,64.6,2009-12-01,M12
24,64.8,2010-01-01,M01
25,64.9,2010-02-01,M02
26,64.9,2010-03-01,M03
27,65.2,2010-04-01,M04
28,64.9,2010-05-01,M05
29,64.6,2010-06-01,M06
30,64.6,2010-07-01,M07
31,64.7,2010-08-01,M08
32,64.6,2010-09-01,M09
33,64.4,2010-10-01,M10
34,64.6,2010-11-01,M11
35,64.3,2010-12-01,M12
36,64.2,2011-01-01,M01
37,64.1,2011-02-01,M02
38,64.2,2011-03-01,M03
39,64.2,2011-04-01,M04
40,64.1,2011-05-01,M05
41,64.0,2011-06-01,M06
42,64.0,2011-07-01,M07
43,64.1,2011-08-01,M08
44,64.2,2011-09-01,M09
45,64.1,2011-10-01,M10
46,64.1,2011-11-01,M11
47,64.0,2011-12-01,M12
48,63.7,2012-01-01,M01
49,63.8,2012-02-01,M02
50,63.8,2012-03-01,M03
51,63.7,2012-04-01,M04
52,63.7,2012-05-01,M05
53,63.8,2012-06-01,M06
54,63.7,2012-07-01,M07
55,63.5,2012-08-01,M08
56,63.6,2012-09-01,M09
57,63.8,2012-10-01,M10
58,63.6,2012-11-01,M11
59,63.7,2012-12-01,M12
60,63.7,2013-01-01,M01
61,63.4,2013-02-01,M02
62,63.3,2013-03-01,M03
63,63.4,2013-04-01,M04
64,63.4,2013-05-01,M05
65,63.4,2013-06-01,M06
66,63.3,2013-07-01,M07
67,63.3,2013-08-01,M08
68,63.2,2013-09-01,M09
69,62.8,2013-10-01,M10
70,63.0,2013-11-01,M11
71,62.9,2013-12-01,M12
72,62.9,2014-01-01,M01
73,62.9,2014-02-01,M02
74,63.1,2014-03-01,M03
75,62.8,2014-04-01,M04
76,62.9,2014-05-01,M05
77,62.8,2014-06-01,M06
78,62.9,2014-07-01,M07
79,62.9,2014-08-01,M08
80,62.8,2014-09-01,M09
81,62.9,2014-10-01,M10
82,62.9,2014-11-01,M11
83,62.8,2014-12-01,M12
84,62.9,2015-01-01,M01
85,62.7,2015-02-01,M02
86,62.6,2015-03-01,M03
87,62.8,2015-04-01,M04
88,62.9,2015-05-01,M05
89,62.7,2015-06-01,M06
90,62.6,2015-07-01,M07
91,62.6,2015-08-01,M08
92,62.4,2015-09-01,M09
93,62.5,2015-10-01,M10
94,62.5,2015-11-01,M11
95,62.7,2015-12-01,M12
96,62.7,2016-01-01,M01
97,62.8,2016-02-01,M02
98,63.0,2016-03-01,M03
99,62.9,2016-04-01,M04
100,62.7,2016-05-01,M05
101,62.7,2016-06-01,M06
102,62.8,2016-07-01,M07
103,62.9,2016-08-01,M08
104,62.9,2016-09-01,M09
105,62.8,2016-10-01,M10
